//======================================================================================================//
//													//
//		#        #  #       #  #    #   #####   ######   ##      ##  #     #			//
//		#        #  #       #  #   #   #     #  #     #  # ##  ## #  #     #			//
//		#        #   ##   ##   ####    #     #  #     #  #   ##   #  #     #			//
//		#   ##   #     ###     #   #   #     #  ######   #        #  #     #			//
//		# ##  ## #      #      #   #   #     #  #        #        #  #     #			//
//		##      ##      #      #    #   #####   #        #        #   #####			//
//											       by Candy //
//======================================================================================================//

//LordClass	MonsterClass	NoMonsters	SpawnChance
13		3		6		100
16		14		2		100
25		22		4		100
35		18		1		100
49		177		2		60
51		45		2		20
67		38		1		100
357		12		4		30
422		11		3		80
423		241		3		100
end
